subject_nr,condition,xprob__initial_precision,prior_posterior_weight,action_noise,xprob__volatility
101,5,0.9204920912812808,1.2418176444071936,0.9421036871677309,-5.316081797522807
101,6,1.194045355025275,1.50568999099221,0.8201179710798077,-5.329191838272916
102,1,0.7112328212696848,0.8957553206935862,0.6671310801332551,-3.1004589065851356
102,2,1.043765991436223,0.10504927801494612,1.1479112575990933,-5.2339541487799774
102,3,0.9069785342790312,0.36821239201375466,0.8764071908932036,-4.981879572630578
102,4,0.9714963119993019,0.3764281429312202,0.9096033438928857,-5.017327706512709
102,5,1.0426332061200037,1.094315280261723,0.6614329710542641,-5.104134863542633
102,6,0.8534613948835406,0.6611297786231578,1.0535434414992864,-5.211527200938079
103,1,0.8488099333964767,1.461678686359602,0.25783157275331303,-6.024742937966448
103,2,1.115310128340487,0.9108981496540596,0.9515492235308196,-5.30722377519546
103,3,0.7665262044097074,1.1184947376025702,0.5840706326635141,-5.817247198568406
103,4,1.015041065792063,0.8720736245631884,0.7107367833812077,-4.867862823431113
103,5,0.6909353317520226,1.232210881856889,0.38801811413038034,-5.444656457855925
103,6,0.8208438217901606,1.2669717621420171,1.1464107007210007,-5.431745755848288
104,1,0.8742298069178642,0.5602066596167772,0.9768326275141044,-5.36403895954657
104,2,0.9000877831565275,0.9081282823552701,0.7203396258109557,-5.585915040081194
104,3,1.043269008511439,0.891875041263945,0.8417378523799284,-5.491219912014482
104,4,0.9299373176927282,1.0085551637733654,0.9850754560843582,-5.447891474705536
104,5,0.7891326177950289,0.7657689190497219,0.7562341125206504,-5.489110710865548
104,6,0.840342722744311,1.2012281887450849,0.7387056539629161,-5.7403162578873435
105,1,1.0767351131863878,0.3345859916816526,1.0937303028001406,-5.288467470545685
105,2,1.0961980190719505,0.18326282225916324,0.638483910177023,-5.110690149817901
105,3,1.082160048115334,0.7972020343294492,0.7215250354237204,-5.2991030910758665
105,4,0.8635018024026875,1.2438329137532325,1.4666144519133815,-4.827795771034545
105,5,1.1307277233358128,0.6416198604938337,1.3849286397162426,-5.174984741332704
105,6,0.8543311106304096,1.991605046662406,1.2120288890507152,-5.3563473176071055
106,1,1.0705040521918074,0.9001293115907916,0.8742900342177207,-5.190878376664472
106,2,0.9656552028464447,1.4144078522003882,0.6690912610337114,-4.927541223186018
106,3,1.1020696473980611,1.6114322793365148,1.9095900331815814,-5.369285866735142
106,4,0.4563358521979361,2.443503583053382,0.6348855227494057,-5.500532083306103
106,5,0.42103366034409917,1.364022894408699,0.5420127379383836,-4.203079551355668
106,6,0.7112100584167691,0.9644342390060603,1.0438465542492972,-5.180346172131749
107,1,1.0039400470618083,1.8798450280248447,1.7284408131159334,-5.11817099049704
107,2,0.944770464370976,0.940102813932031,1.2250469572688734,-5.067747268662494
107,3,0.9382612138249689,1.5160116443671265,1.639702406330309,-5.006478018851999
107,4,0.9074236467978998,0.7414362468318338,0.7590482215462488,-5.417547757598253
107,5,0.9814031522607054,0.47753893314725854,1.0016412559520407,-5.1874298198063595
107,6,0.9876728220748555,0.08873805033186716,1.1352888880197158,-5.207012083030084
108,1,0.8971706070111114,1.3786905677139323,0.5943839608293622,-5.127020162662125
108,2,0.8685740004116032,1.439076575740959,0.47138133301011664,-5.1078700989355035
108,3,1.0424970976711596,1.3805835897245864,0.5904765587717697,-4.989459972848577
108,4,1.9408670485179744,1.9129555617361347,0.21516932603780395,-4.625347805541474
108,5,0.8854674881768969,1.7246378278558747,0.5555171445598327,-4.785869031946776
108,6,0.512544119921628,1.731630969821843,0.2179937886621956,-5.125654014946075
109,1,1.2368857808936011,1.362061785272996,0.26572985202732313,-6.265773415755422
109,2,1.0731810138196423,0.2514122415637074,1.0454455742183937,-5.211966163861151
109,3,0.9806378187052249,1.525831505233639,0.5956609296589354,-5.749676415904647
109,4,0.9729423793489631,1.1606519183468356,1.1679489964885568,-5.376999664142304
109,5,0.9875743606942318,0.19072865893934532,1.3925697599425657,-5.145439467148655
109,6,0.7120938232066855,1.1910337775458517,1.32542141835277,-4.917531236944919
110,1,0.6378285519290117,0.7370057518468677,0.8514112519423735,-4.689262020594732
110,2,1.5357518751110466,2.1717257010163418,0.504859497992475,-4.469044183787416
110,3,0.9557539378959404,0.5634356107275711,1.0805247287471136,-5.25767816123057
110,4,0.8118444558941809,1.9489862153494077,0.9752623581266999,-3.16451327333752
110,5,0.7247671188776861,2.075750241761713,1.0396990639426764,-5.223466084109093
110,6,1.3446876131108736,1.91757868905173,0.3367790190155254,-4.790301742148846
111,1,0.7816962687442319,1.3551341188046178,0.4081439882262846,-5.998643607268932
111,2,0.7268623767277225,1.9752758356862454,0.37856985768432283,-5.906600426848576
111,3,0.6860893201768989,1.7899825739726183,0.47759870956784967,-5.863143237990544
111,4,0.6741787169259428,1.5846991113882636,0.7221328864283514,-5.328195312398565
111,5,0.6296425714959584,1.7925593710023127,0.666080380867432,-5.276098791309495
111,6,0.902761316060568,1.4070865425047079,1.0872913414650673,-4.771737466534583
201,1,1.220010033264591,0.8797819636811463,0.7531699579053708,-5.1341297481487445
201,2,1.064066400546658,0.21724560503044305,0.7885505040756855,-5.2820721563199475
201,3,0.9340816818126475,1.0117270783163517,0.6310785320765877,-4.789835551582617
201,4,1.213834130477358,0.9159962053805857,0.6304819748958689,-4.842145051576205
201,5,0.7946289358666521,0.44833598718915424,0.8294079936225265,-4.832764651694108
201,6,1.0588273571826954,1.5982949024829298,0.7333707136756458,-5.208296333456207
202,1,0.6887236247574939,1.3029467110352921,0.4656160002177345,-5.728606555219927
202,2,1.1241810544012174,1.5025905936492356,0.7346389935309007,-5.232233562742805
202,3,1.031272091056525,0.5515040855154174,1.1208615204243162,-5.288115447613013
202,4,1.0525328773728815,0.05910389695821653,1.0630873816067488,-5.196175224667694
202,5,1.0229122936133384,0.19193497699252993,0.8854481826392291,-5.187697192014835
202,6,0.9391182156806722,0.20089971895239878,0.7875044111849833,-5.154248819011128
203,1,0.9802669594856905,0.7586788380568049,1.328270808707443,-5.046156825419098
203,2,0.6321116434180176,1.3913799946544314,0.6853643490444515,-5.603127718268601
203,3,0.6986425487647463,1.2073007151796344,0.42677959713871527,-5.937130270120071
203,4,1.1470033614062136,1.0906141005915666,1.3299153815079738,-5.2687311673652895
203,5,1.1261880632169317,1.5028521220041968,1.8698540752671755,-5.297564927062082
203,6,1.2166977951362838,1.3603926000896358,1.0798045280793955,-5.081428529720804
204,1,0.7163250541720451,0.6550362918710342,0.8583701673078259,-5.244009139428171
204,2,0.922259569365224,0.8375880498530706,0.5335708710382883,-5.424930057520907
204,3,1.0346240348681444,0.399610823051743,0.869000205189312,-5.280833985206657
204,4,0.9670725133199318,0.5773063328704553,1.065006310447894,-5.134977631259487
204,5,1.6407740500243484,1.5623953200958711,0.273790785348175,-4.132057839535966
204,6,1.0102906020796607,0.32151423544182134,1.2117921391225142,-5.093273202484844
205,1,1.0306597282088974,2.145355905166541,1.589443012734992,-3.5984799105641363
205,2,0.4953057596512175,2.0068112423631095,1.1541890698889317,-4.768553290810358
205,3,0.6561752341180596,1.6407821480199147,1.11034371556144,-5.032507058343679
205,4,0.39738426679741323,2.87474503665267,0.6078602866162204,-5.022124967252884
205,5,0.5961738068740028,2.5295184526977073,1.3908222916442035,-3.635187808309757
205,6,0.6614467025066859,1.9853397768131338,1.4949131864029526,-5.017230749910213
206,1,1.3528692665798978,3.374498197027831,0.6415128690593921,-4.057000995671911
206,2,0.41980998898921096,2.8339060533902276,0.47206897650402246,-5.330024114603027
206,3,0.9080887448808508,1.7367122263616013,1.737644851781834,-5.183971313757215
206,4,1.3055491451797125,2.052761731194674,0.6471675789956959,-3.5514656183837916
206,5,0.42537804877938984,2.1660566079724535,0.33077674237276194,-5.35408407446414
206,6,1.0827876036739994,2.0519809151685333,0.21070797600060037,-5.665523840771039
207,1,0.9861496287232008,0.23936933264067137,1.3964978862275839,-5.140441754637376
207,2,1.023767773433998,0.9146209501006566,1.1901136679611484,-4.990378142412805
207,3,1.0099798357784526,0.3307565660119335,1.514821846108172,-5.230961681465896
207,4,0.8188774180132609,0.8400906820177793,0.9381769668893786,-5.553756520973827
207,5,0.6988817541079217,1.761353520920836,0.4064604701391906,-6.138557357020634
207,6,1.1680291094971351,0.4959609593334524,1.473128980003895,-5.268355994322475
210,1,1.0318657432445837,1.255965441123152,1.4000682325524296,-5.227034430958409
210,2,0.7031449518434665,1.581177947040178,0.75944446397079,-4.250445111226439
210,3,0.9417533884995071,1.001477099117323,1.242408162535265,-5.030712949198617
210,4,1.1218085202049504,1.342569862854707,1.6373479738744008,-5.2701262828686435
210,5,0.7760307792050625,1.5039485676736914,1.5530644449909115,-5.021027779137327
210,6,1.2181736039534727,1.6302290620459923,0.8905868276089339,-4.787832557941313
211,1,1.5368908000572556,1.4483188630264476,0.5377708114271463,-4.916309180035935
