parameter,mean,std,ess_bulk,ess_tail,rhat,rhat_warn,ess_bulk_warn,ess_tail_warn,ess_warn
"parameters[2, 22]",2.051683462805052,0.716736714941552,4756.991829760198,2633.5517416882094,1.0000096106659404,false,false,false,false
"parameters[3, 22]",1.6069344782549961,0.6130709484158663,4460.921482694286,3003.1558449592007,1.0000245220641495,false,false,false,false
"parameters[4, 22]",-5.050896000597697,1.0009412143285104,7096.746216059493,2919.1403541562504,1.0003676856705308,false,false,false,false
"parameters[1, 23]",1.4193491391962811,2.0475570055298498,7036.997425938097,2873.9541681436417,1.000181231063695,false,false,false,false
"parameters[2, 23]",1.1693997842734247,0.6537969297275171,5207.610774988826,2459.0363405871417,1.0005262403987858,false,false,false,false
"parameters[3, 23]",1.6964791590473365,0.503992754131872,5542.603212660472,3413.700350190877,0.999988365211965,false,false,false,false
"parameters[4, 23]",-5.13478656994417,1.024750208331384,6440.602899217439,2041.6687521882402,1.0021729601418599,false,false,false,false
"parameters[1, 24]",1.4693213629989845,2.3083159134807882,8070.445911465297,2751.015698041945,1.0019514466101516,false,false,false,false
"parameters[2, 24]",1.1544517858858432,0.6319019225838893,4730.000985737983,2567.606299217494,1.0002115240776024,false,false,false,false
"parameters[3, 24]",1.4105854219470833,0.4618290285586502,4961.5295375674,3270.776046804558,1.0026010794684594,false,false,false,false
"parameters[4, 24]",-4.862731505231447,1.048316901066961,4705.250052988085,2401.4148330845837,0.9998193952860893,false,false,false,false
"parameters[1, 25]",1.5663827951274665,2.261688344048765,6718.944836395796,3085.7482849908,1.000320289225703,false,false,false,false
"parameters[2, 25]",1.3231279077463154,0.48596604461620846,6758.1519377898385,2417.234039715911,1.000015401009629,false,false,false,false
"parameters[3, 25]",0.5963429798496134,0.15285309254756166,5085.660725271774,2625.454336329813,1.0005354815928007,false,false,false,false
"parameters[4, 25]",-4.479189332127889,1.0527967779795868,4206.979064655992,2182.876020441947,1.000847998189612,false,false,false,false
"parameters[1, 26]",2.23187978421463,2.535696297392521,6381.541837933249,2485.351851791353,0.9999743903260021,false,false,false,false
"parameters[2, 26]",1.2014187090019546,0.5432229964033618,3069.69388961869,1782.8344233737157,0.9999063149662504,false,false,false,false
"parameters[3, 26]",0.5187262901835046,0.20632454333976458,3183.7210928233244,2044.8971809762324,1.0007187580624242,false,false,false,false
"parameters[4, 26]",-4.6958116983139675,0.9623434831914537,6082.146517507859,2668.990024751538,1.0006129700922741,false,false,false,false
"parameters[1, 27]",1.4558552463327503,1.7234283929236538,6120.076624123984,3182.733480374239,1.000299960635502,false,false,false,false
