"detectprob","resp_binary","subject_nr","condition"
0.521143477084884,0,1,5
0,0,1,5
0,0,1,5
0.521143477084884,0,1,5
0.521143477084884,0,1,5
0,0,1,5
0.521143477084884,0,1,5
0.383868747967051,0,1,5
0.383868747967051,0,1,5
0,0,1,5
0.655297604611112,0,1,5
0,0,1,5
0,0,1,5
0,0,1,5
0.521143477084884,0,1,5
0,0,1,5
0.655297604611112,0,1,5
0,0,1,5
0.521143477084884,0,1,5
0,0,1,5
0.521143477084884,0,1,5
0.655297604611112,0,1,6
0.655297604611112,0,1,6
0.521143477084884,0,1,6
0,0,1,6
0.521143477084884,0,1,6
0.521143477084884,0,1,6
0.521143477084884,0,1,6
0.383868747967051,0,1,6
0.521143477084884,0,1,6
0.655297604611112,0,1,6
0.383868747967051,0,1,6
0.521143477084884,0,1,6
0.521143477084884,0,1,6
0.655297604611112,0,1,6
0,0,1,6
0.521143477084884,0,1,6
0,0,1,6
0.655297604611112,0,1,6
0.521143477084884,0,1,6
0.521143477084884,0,1,6
0,0,1,6
0.383868747967051,0,1,6
0,0,1,6
0,0,1,6
0.521143477084884,0,1,6
0,0,1,6
0,0,1,6
0.383868747967051,0,1,6
0.521143477084884,0,1,6
0.521143477084884,0,1,6
0.655297604611112,0,1,6
0.521143477084884,0,1,6
0.521143477084884,0,1,6
0.383868747967051,0,1,6
0,0,1,6
0.521143477084884,0,1,6
0.655297604611112,0,1,6
0.521143477084884,0,1,6
0.521143477084884,0,1,6
0.655297604611112,0,1,6
0,0,1,6
0,0,1,6
0.383868747967051,0,1,6
0,0,1,6
0,0,1,6
0,0,1,6
0,0,1,6
0,0,1,6
0.655297604611112,0,1,6
0,0,1,6
0,0,1,6
0.521143477084884,0,1,6
0.655297604611112,0,1,6
0,0,1,6
0,0,1,6
0,0,1,6
0.383868747967051,0,1,6
0.521143477084884,0,1,6
0.521143477084884,0,1,6
0.521143477084884,0,1,6
0,0,1,6
0,0,1,6
0,0,1,6
0.383868747967051,0,1,6
0.521143477084884,0,1,6
0,0,1,6
0,0,1,6
0,0,1,6
0,0,1,6
0.521143477084884,0,1,6
0.383868747967051,0,1,6
0.521143477084884,0,1,6
0.655297604611112,0,1,6
0,0,1,6
0.383868747967051,0,1,6
0.655297604611112,0,1,6
0,0,1,6
0,0,1,6
0,0,1,6
0.521143477084884,0,1,6
0.968892131604022,1,2,1
0.968892131604022,1,2,1
0.547473933804596,1,2,1
0.547473933804596,0,2,1
0.547473933804596,0,2,1
0.547473933804596,1,2,1
0.0448839094861044,1,2,1
0.547473933804596,1,2,1
0,0,2,1
0.968892131604022,1,2,1
0.547473933804596,1,2,1
0.0448839094861044,1,2,1
0.547473933804596,1,2,1
0,0,2,1
0.547473933804596,1,2,1
0.968892131604022,1,2,1
0,0,2,1
0.968892131604022,0,2,1
0.0448839094861044,0,2,1
0.547473933804596,1,2,1
0,0,2,1
0,0,2,1
0.0448839094861044,0,2,1
0.547473933804596,1,2,1
0.547473933804596,0,2,1
0,0,2,1
0.547473933804596,0,2,1
0.547473933804596,1,2,1
0,0,2,1
0.547473933804596,1,2,1
0.968892131604022,1,2,1
0,0,2,1
0,0,2,1
0,0,2,1
0.547473933804596,0,2,1
0.547473933804596,0,2,1
0,0,2,1
0.0448839094861044,0,2,1
0.547473933804596,0,2,1
0.968892131604022,0,2,1
0,0,2,1
0.547473933804596,0,2,1
0,0,2,1
0,0,2,1
0.968892131604022,1,2,1
