detectprob,binary_resp,SubjID,condition,training
0.221499749889952,0,3,2,0
0.514430208883956,1,3,2,0
0.221499749889952,0,3,2,0
0.0,0,3,2,0
0.221499749889952,0,3,2,0
0.0,0,3,2,0
0.354433956288146,0,3,2,0
0.0,0,3,2,0
0.514430208883956,1,3,2,0
0.354433956288146,0,3,2,0
0.0,0,3,2,0
0.354433956288146,1,3,2,0
0.354433956288146,1,3,2,0
0.0,0,3,2,0
0.0,0,3,2,0
0.0,0,3,2,0
0.0,0,3,2,0
0.0,0,3,2,0
0.514430208883956,1,3,2,0
0.0,0,3,2,0
0.354433956288146,1,3,2,0
0.221499749889952,0,3,2,0
0.354433956288146,1,3,2,0
0.0,0,3,2,0
0.221499749889952,0,3,2,0
0.0,0,3,2,0
0.0,0,3,2,0
0.221499749889952,1,3,2,0
0.354433956288146,1,3,2,0
0.221499749889952,0,3,2,0
0.0,0,3,2,0
0.0,0,3,2,0
0.514430208883956,1,3,2,0
0.354433956288146,0,3,2,0
0.0,0,3,2,0
0.0,0,3,2,0
0.0,0,3,2,0
0.0,0,3,2,0
0.514430208883956,1,3,2,0
0.0,0,3,2,0
0.0,0,3,2,0
0.0,0,3,2,0
0.0,0,3,2,0
0.354433956288146,0,3,2,0
0.221499749889952,1,3,2,0
0.0,0,3,2,0
0.0,0,3,2,0
0.354433956288146,0,3,2,0
0.0,0,3,2,0
0.221499749889952,0,3,2,0
0.0,0,3,2,0
0.221499749889952,1,3,2,0
0.514430208883956,1,3,2,0
0.354433956288146,0,3,2,0
0.0,0,3,2,0
0.0,0,3,2,0
0.221499749889952,0,3,2,0
0.354433956288146,0,3,2,0
1.0,1,3,3,1
1.0,1,3,3,1
1.0,1,3,3,1
1.0,1,3,3,1
1.0,1,3,3,1
1.0,1,3,3,1
1.0,1,3,3,1
1.0,1,3,3,1
1.0,1,3,3,1
1.0,1,3,3,1
1.0,1,3,3,1
1.0,1,3,3,1
1.0,1,3,3,1
1.0,1,3,3,1
1.0,1,3,3,1
1.0,1,3,3,1
1.0,1,3,3,1
1.0,1,3,3,1
1.0,1,3,3,1
1.0,1,3,3,1
0.238617894344602,0,3,3,0
0.238617894344602,1,3,3,0
0.496598405434002,1,3,3,0
0.496598405434002,1,3,3,0
0.496598405434002,0,3,3,0
0.496598405434002,1,3,3,0
0.496598405434002,1,3,3,0
0.0,0,3,3,0
0.756402922400815,1,3,3,0
0.756402922400815,1,3,3,0
0.0,0,3,3,0
0.496598405434002,1,3,3,0
0.496598405434002,1,3,3,0
0.238617894344602,1,3,3,0
0.496598405434002,1,3,3,0
0.496598405434002,1,3,3,0
0.496598405434002,1,3,3,0
0.238617894344602,1,3,3,0
0.496598405434002,1,3,3,0
0.496598405434002,1,3,3,0
0.756402922400815,1,3,3,0
0.0,0,3,3,0
0.496598405434002,1,3,3,0
0.238617894344602,1,3,3,0
0.238617894344602,0,3,3,0
0.238617894344602,1,3,3,0
0.0,0,3,3,0
0.756402922400815,1,3,3,0
0.496598405434002,1,3,3,0
0.0,0,3,3,0
0.496598405434002,1,3,3,0
0.0,0,3,3,0
0.0,0,3,3,0
0.496598405434002,0,3,3,0
0.0,0,3,3,0
0.496598405434002,1,3,3,0
0.496598405434002,0,3,3,0
0.0,0,3,3,0
0.0,0,3,3,0
0.238617894344602,0,3,3,0
0.238617894344602,0,3,3,0
0.0,0,3,3,0
0.0,0,3,3,0
0.756402922400815,0,3,3,0
0.0,0,3,3,0
0.496598405434002,0,3,3,0
0.0,0,3,3,0
0.496598405434002,1,3,3,0
0.0,0,3,3,0
0.0,0,3,3,0
0.238617894344602,0,3,3,0
0.0,0,3,3,0
0.0,0,3,3,0
0.0,0,3,3,0
0.756402922400815,1,3,3,0
0.496598405434002,1,3,3,0
0.496598405434002,1,3,3,0
0.238617894344602,1,3,3,0
0.238617894344602,0,3,3,0
0.0,0,3,3,0
0.238617894344602,0,3,3,0
0.0,1,3,3,0
0.238617894344602,1,3,3,0
0.496598405434002,1,3,3,0
0.0,1,3,3,0
0.496598405434002,1,3,3,0
0.0,0,3,3,0
0.238617894344602,0,3,3,0
0.0,0,3,3,0
0.0,0,3,3,0
0.756402922400815,1,3,3,0
0.756402922400815,1,3,3,0
0.0,0,3,3,0
0.0,0,3,3,0
0.0,0,3,3,0
0.496598405434002,1,3,3,0
0.496598405434002,1,3,3,0
0.0,0,3,3,0
0.0,0,3,3,0
0.0,0,3,3,0
0.756402922400815,1,3,3,0
0.0,0,3,3,0
0.0,0,3,3,0
0.756402922400815,1,3,3,0
0.0,0,3,3,0
0.238617894344602,1,3,3,0
0.238617894344602,1,3,3,0
0.0,0,3,3,0
0.238617894344602,0,3,3,0
0.496598405434002,1,3,3,0
0.0,0,3,3,0
0.238617894344602,1,3,3,0
0.496598405434002,1,3,3,0
0.0,0,3,3,0
0.496598405434002,1,3,3,0
0.0,0,3,3,0
0.0,0,3,3,0
0.496598405434002,1,3,3,0
0.0,0,3,3,0
0.0,0,3,3,0
1.0,1,4,2,1
0.602951812452286,1,4,2,0
0.184744961195508,1,4,2,0
0.602951812452286,1,4,2,0
0.0,1,4,2,0
0.184744961195508,0,4,2,0
0.602951812452286,1,4,2,0
0.602951812452286,1,4,2,0
0.602951812452286,1,4,2,0
0.602951812452286,1,4,2,0
0.602951812452286,1,4,2,0
0.602951812452286,1,4,2,0
0.602951812452286,1,4,2,0
0.184744961195508,1,4,2,0
0.0,1,4,2,0
0.910526781382538,1,4,2,0
0.602951812452286,1,4,2,0
0.602951812452286,1,4,2,0
0.602951812452286,1,4,2,0
0.184744961195508,1,4,2,0
0.910526781382538,1,4,2,0
0.0,1,4,2,0
0.910526781382538,1,4,2,0
0.602951812452286,1,4,2,0
0.0,1,4,2,0
0.602951812452286,1,4,2,0
0.602951812452286,1,4,2,0
0.602951812452286,1,4,2,0
0.602951812452286,1,4,2,0
0.184744961195508,0,4,2,0
0.0,0,4,2,0
0.0,0,4,2,0
0.184744961195508,1,4,2,0
0.602951812452286,1,4,2,0
0.0,0,4,2,0
0.0,1,4,2,0
0.0,1,4,2,0
0.184744961195508,1,4,2,0
0.910526781382538,1,4,2,0
0.184744961195508,1,4,2,0
0.0,1,4,2,0
0.602951812452286,0,4,2,0
0.0,0,4,2,0
0.184744961195508,1,4,2,0
0.0,1,4,2,0
0.184744961195508,1,4,2,0
0.0,1,4,2,0
0.0,1,4,2,0
0.602951812452286,1,4,2,0
0.0,0,4,2,0
0.0,0,4,2,0
0.602951812452286,1,4,2,0
0.910526781382538,1,4,2,0
0.0,0,4,2,0
0.602951812452286,1,4,2,0
0.0,1,4,2,0
0.0,0,4,2,0
0.0,0,4,2,0
0.910526781382538,1,4,2,0
0.184744961195508,1,4,2,0
0.184744961195508,1,4,2,0
0.0,1,4,2,0
0.0,0,4,2,0
0.0,0,4,2,0
0.910526781382538,1,4,2,0
0.602951812452286,1,4,2,0
0.184744961195508,1,4,2,0
0.602951812452286,1,4,2,0
0.0,0,4,2,0
0.0,1,4,2,0
0.602951812452286,1,4,2,0
0.602951812452286,1,4,2,0
0.0,0,4,2,0
0.0,0,4,2,0
0.0,0,4,2,0
0.184744961195508,0,4,2,0
0.0,1,4,2,0
0.184744961195508,1,4,2,0
0.184744961195508,1,4,2,0
0.910526781382538,1,4,2,0
0.0,1,4,2,0
0.0,0,4,2,0
0.0,0,4,2,0
0.0,0,4,2,0
0.0,0,4,2,0
0.0,1,4,2,0
0.0,1,4,2,0
0.602951812452286,1,4,2,0
0.184744961195508,1,4,2,0
0.602951812452286,1,4,2,0
0.910526781382538,1,4,2,0
0.602951812452286,1,4,2,0
0.184744961195508,1,4,2,0
0.910526781382538,1,4,2,0
0.0,1,4,2,0
0.184744961195508,1,4,2,0
0.0,0,4,2,0
0.602951812452286,1,4,2,0
0.184744961195508,1,4,2,0
0.0,0,4,2,0
0.0,0,4,2,0
1.0,1,4,3,1
1.0,1,4,3,1
1.0,1,4,3,1
1.0,1,4,3,1
1.0,1,4,3,1
1.0,1,4,3,1
1.0,1,4,3,1
1.0,1,4,3,1
1.0,1,4,3,1
1.0,1,4,3,1
1.0,1,4,3,1
1.0,1,4,3,1
1.0,1,4,3,1
1.0,1,4,3,1
1.0,1,4,3,1
1.0,1,4,3,1
1.0,1,4,3,1
1.0,1,4,3,1
1.0,1,4,3,1
1.0,1,4,3,1
0.795468088439635,1,4,3,0
0.450078468738227,1,4,3,0
0.640820364291005,1,4,3,0
0.0,0,4,3,0
0.640820364291005,1,4,3,0
0.450078468738227,1,4,3,0
0.640820364291005,1,4,3,0
0.640820364291005,1,4,3,0
0.450078468738227,1,4,3,0
0.640820364291005,1,4,3,0
0.640820364291005,1,4,3,0
0.640820364291005,1,4,3,0
0.640820364291005,1,4,3,0
0.640820364291005,1,4,3,0
0.640820364291005,1,4,3,0
0.450078468738227,1,4,3,0
0.640820364291005,1,4,3,0
0.0,0,4,3,0
0.795468088439635,0,4,3,0
0.640820364291005,0,4,3,0
0.0,0,4,3,0
0.795468088439635,1,4,3,0
0.450078468738227,1,4,3,0
0.640820364291005,1,4,3,0
0.450078468738227,0,4,3,0
0.0,0,4,3,0
0.640820364291005,1,4,3,0
0.450078468738227,1,4,3,0
0.0,0,4,3,0
0.640820364291005,1,4,3,0
0.0,0,4,3,0
0.640820364291005,1,4,3,0
0.450078468738227,1,4,3,0
0.640820364291005,1,4,3,0
0.0,0,4,3,0
0.0,0,4,3,0
0.640820364291005,1,4,3,0
0.795468088439635,1,4,3,0
0.0,0,4,3,0
0.0,0,4,3,0
0.0,0,4,3,0
0.795468088439635,1,4,3,0
0.640820364291005,1,4,3,0
0.640820364291005,0,4,3,0
0.795468088439635,1,4,3,0
0.0,1,4,3,0
0.450078468738227,1,4,3,0
0.0,0,4,3,0
0.450078468738227,0,4,3,0
0.450078468738227,1,4,3,0
0.0,0,4,3,0
0.640820364291005,1,4,3,0
0.0,0,4,3,0
0.0,0,4,3,0
0.0,0,4,3,0
0.640820364291005,1,4,3,0
0.0,0,4,3,0
0.0,0,4,3,0
0.0,0,4,3,0
0.450078468738227,0,4,3,0
0.640820364291005,1,4,3,0
0.640820364291005,1,4,3,0
