SubjID,condition,action_noise,prior_posterior_weight,xprob__volatility
41,1,0.15997000828215657,1.3147661981416636,-6.765939633320739
41,4,0.7052934236005812,0.1577229445415015,-5.439186704166016
42,1,0.6789871053854233,0.5141918202799451,-5.084443733259958
42,4,0.2119527507212246,0.9708819806214595,-6.9792490865991255
43,2,1.369847242736174,0.3429145539571174,-5.387952042834226
43,3,0.7581539184901918,2.348063405585399,-5.151113909911446
44,1,1.020283251658883,2.0821111491916136,-2.2408402537107386
44,4,1.0345124501146779,0.3609833256152776,-5.090070889492484
46,1,1.5437692727825745,1.0770780613585602,-5.341562586634895
46,4,1.5132738505454675,1.5301332886351506,-5.488840628351027
47,2,1.3993724201516575,1.0123075218668802,-5.099799738287272
47,3,0.3830933197172659,1.4406823256466328,-6.652970837171404
48,2,1.6684380775880596,1.336975434167051,-5.264808919992482
48,3,0.7045100687189547,0.6945131665753492,-5.892221146148447
49,1,0.43434667879844724,1.7394172355147284,-5.042048431979094
49,4,0.46126880846036444,0.79256188891398,-4.910224714955373
50,1,1.142097533371004,0.9036527995205049,-5.552883658601737
50,4,0.6520035020653691,1.2104274541148667,-6.298926137397424
51,2,0.5973938292787244,1.6254234476348728,-5.133565470345594
51,3,0.6518296808131173,0.7769550318766765,-4.954964911350518
53,1,2.3308991281735105,0.004631348458480695,-5.130919465051562
53,4,0.9288422251190174,0.5726349814611964,-4.1073575084781275
54,1,1.5826496621718262,1.0329492470014037,-5.1823196018373885
54,4,0.5723407246735679,1.3380542991018498,-6.128047263232226
55,1,0.7792872709789231,0.7435022241782079,-5.279401278112983
55,4,0.4488765503741279,1.1153102874949623,-6.513476030252925
56,1,1.0127251140283746,0.15840830979696935,-5.398214431666849
56,4,0.3172784191501377,0.9600613927226892,-6.491459485429882
