parameter,mean,std,ess_bulk,rhat,rhat_warn,ess_warn
"parameters[3, 40]",-6.502533814238578,0.8549179546197357,3504.6212333353983,1.0008782527695534,false,false
"parameters[1, 41]",1.6505017489038192,0.35876416797723093,3698.1248760127014,1.0010329073557747,false,false
"parameters[2, 41]",0.4910857756208211,0.14287189201396594,4065.02009856502,1.0007756748140146,false,false
"parameters[3, 41]",-5.636264242571224,0.8984822327281075,4812.408618986041,1.0010157584529331,false,false
"parameters[1, 42]",1.8920665910101957,0.4119743416515198,3905.913499291301,1.0018524624586038,false,false
"parameters[2, 42]",0.5783095911113687,0.13100853806876983,4255.802732867353,1.0018734641300122,false,false
"parameters[3, 42]",-5.22680233008949,1.0509607402719738,3566.083170642021,1.0004394580735019,false,false
"parameters[1, 43]",2.261566142777319,0.4164498300136119,4063.3303738716327,1.0004565801747518,false,false
"parameters[2, 43]",0.4908448640880358,0.17265704594775436,3623.8781963212214,1.0001363722622256,false,false
"parameters[3, 43]",-6.184409987959832,0.8853289987894054,4233.8868080004395,1.0000082072266556,false,false
"parameters[1, 44]",0.48901188105185256,0.35014421740560514,1863.2085038498678,1.0006454588444573,false,false
"parameters[2, 44]",0.9267879327296483,0.3051468664448116,1957.3322212991088,1.0005002348763743,false,false
"parameters[3, 44]",-4.839834039090356,0.9329520956934921,4509.189438865139,1.0003480496185906,false,false
"parameters[1, 45]",1.4386591211095392,0.6626837519386397,2658.996564418858,0.9998742347424914,false,false
"parameters[2, 45]",1.502227022830505,0.4651975654021932,3244.2753213493716,1.0008783870373117,false,false
"parameters[3, 45]",-4.709231570077814,1.073143769844326,3835.3975704164277,1.0033651312019738,false,false
"parameters[1, 46]",1.1995037727587514,0.4740896912341185,3749.1833285295584,1.00113880262928,false,false
"parameters[2, 46]",0.7542204984185752,0.15737982846888704,3577.309313879334,1.0001434199820625,false,false
"parameters[3, 46]",-2.3023785258415974,0.9630650285286315,1891.2061118359707,1.0017005450402978,false,false
"parameters[1, 47]",1.0204751826878842,0.5032906411023986,2187.4872868025072,1.0008238418516526,false,false
"parameters[2, 47]",0.8209090805667735,0.326893003203204,2016.391065635284,1.0024673403152076,false,false
"parameters[3, 47]",-5.640843699239568,0.919649859409116,4226.3665068748405,1.00098504846344,false,false
"parameters[1, 48]",1.891248976557835,0.4585671931619411,5134.791860677672,0.9997757397067853,false,false
"parameters[2, 48]",0.7418583604835053,0.17466885646731142,4331.413689480096,1.0022856622398986,false,false
"parameters[3, 48]",-5.862712532051293,0.8659162870094427,4482.447828291322,1.0021173708981752,false,false
"parameters[1, 49]",1.3871904850948908,0.09614073102730068,2064.778300047219,1.001508787191574,false,false
"parameters[2, 49]",0.03747002820318209,0.02805627094835128,1528.23120002179,1.0005891898376391,false,false
"parameters[3, 49]",-7.66054880447679,0.6406406847162904,2805.4256917131,1.0000865423764018,false,false
"parameters[1, 50]",0.47278356501594054,0.22843629703399704,2285.8224119993583,1.001688125358442,false,false
"parameters[2, 50]",0.5945573950078131,0.16624782694768522,2322.871592887808,1.0028318865341532,false,false
"parameters[3, 50]",-5.091458800765619,1.0597599634366226,4272.741347295886,1.0016811086818267,false,false
"parameters[1, 51]",0.38826587605961993,0.33767337664753244,1938.9480905214727,1.000949267812996,false,false
"parameters[2, 51]",0.8023071759182006,0.3549553000177533,2134.5952414723847,1.0016728144637472,false,false
"parameters[3, 51]",-5.216689274274344,0.9791914971503899,4899.372333629907,1.0015353452879645,false,false
"parameters[1, 52]",0.7937712332939318,0.3050118808323429,3468.4411675693664,1.0020325315686196,false,false
"parameters[2, 52]",0.4834229943319207,0.1218013154243374,2670.144118554482,1.000446775062922,false,false
"parameters[3, 52]",-4.833299520634147,0.8042691839840715,4039.033631031727,1.0003296080121804,false,false
"parameters[1, 53]",1.7473413037753494,0.663933945645236,3582.1668232825486,1.0008539757269763,false,false
"parameters[2, 53]",1.4823798832625252,0.5647366731255132,3603.6462677035292,1.000469726844898,false,false
"parameters[3, 53]",-5.24832052499314,0.9568238158564409,4362.3912437173585,1.0002295852237009,false,false
"parameters[1, 54]",1.7037649072749197,0.6173857191340483,3851.762108357472,0.9999521906361012,false,false
"parameters[2, 54]",1.394656546860463,0.40103270460816887,3694.897994273024,1.0003119164335508,false,false
"parameters[3, 54]",-5.43772167131973,0.9660887378639376,3452.9255775347574,1.000306579990295,false,false
"parameters[1, 55]",2.7381307735909792,0.6835947246303312,3652.6227746209156,1.0006513018477565,false,false
"parameters[2, 55]",1.2353941603480585,0.5256204777930483,3099.995356205715,1.0005628053776472,false,false
"parameters[3, 55]",-5.415924242493978,0.8978362012321937,4871.885438221946,1.001786843239323,false,false
"parameters[1, 56]",1.7170738627131485,0.5425858973073442,4715.953882846027,1.0015039711139817,false,false
"parameters[2, 56]",0.9141536320880205,0.28039532362516506,4459.029602316238,0.9999520127970146,false,false
