source_row,SubjID,condition,timestep,current_detectprob,current_response,previous_response,training,belief,xbin__prediction_mean,xbin__value_prediction_error,xprob__value_prediction_error,xprob__precision_prediction_error,xprob__posterior_precision,xprob__posterior_mean,xvol__value_prediction_error,xvol__posterior_precision,xvol__posterior_mean,signal_expectation
8239,42,1,61,0.0,0,0,0,0.09321965280620761,0.3076561049065023,-0.3076561049065023,-0.049470646375815885,-0.01955204849712222,6.218963295224295,-0.8605708278524354,-0.00040430055096742513,0.8976214226579251,-0.003389864991850442,0.29722009907288083
8240,42,1,62,0.477160093231063,0,0,0,0.4144183370589211,0.29722009907288083,-0.29722009907288083,-0.04795431926001997,-0.019928689903022156,6.197984486147766,-0.9085251471124554,-0.0004112109260467579,0.8966527913986302,-0.0038010759178971998,0.28730173474049414
8241,42,1,63,0.819229420163911,1,0,0,0.6347248282019197,0.28730173474049414,-0.28730173474049414,-0.0465304067610246,-0.02023719493058307,6.174494943076395,-0.95505555387348,-0.00041650354837212324,0.8956876033174768,-0.004217579466269323,0.2778692491522662
8242,42,1,64,0.0,0,1,0,0.0971485087885494,0.2778692491522662,0.7221307508477337,0.11744467397597735,0.049408426796242355,6.148689932212676,-0.8376108798975026,0.0010138494607000712,0.893536405632129,-0.0032037300055692518,0.3020382001245606
8243,42,1,65,0.670369362671822,1,0,0,0.5416984750642828,0.3020382001245606,-0.3020382001245606,-0.04923460902204718,-0.02000416070332539,6.134673139912399,-0.8868454889195498,-0.00041021042988153384,0.8925692137855048,-0.0036139404354507856,0.29176123811046306
8244,42,1,66,0.477160093231063,0,1,0,0.4244154988799286,0.29176123811046306,0.7082387618895369,0.11577117310756063,0.045446552164097875,6.117575515595675,-0.7710743158119893,0.0009305292355871917,0.8904955682664777,-0.0026834111998635937,0.3162467567997315
8245,42,1,67,0.819229420163911,0,0,0,0.6451747991819698,0.3162467567997315,-0.3162467567997315,-0.051749576892545,-0.01959738688042517,6.11109917233895,-0.8228238927045342,-0.00040147324720386335,0.8895277071361563,-0.0030848844470674572,0.30516455587500596
8246,42,1,68,0.477160093231063,0,0,0,0.41706406510323957,0.30516455587500596,-0.30516455587500596,-0.050018980011249825,-0.020021441789680627,6.1009759280375535,-0.872842872715784,-0.00041002821897409515,0.8885689583683708,-0.0034949126660415524,0.2946631050972939
8247,42,1,69,0.670369362671822,1,0,0,0.5396753187744514,0.2946631050972939,-0.2946631050972939,-0.048404941647490374,-0.020365611349716817,6.08745987236389,-0.9212478143632744,-0.0004166944189178713,0.8876169639945285,-0.003911607084959424,0.2847037132721736
8248,42,1,70,0.477160093231063,1,1,0,0.4222085161891176,0.2847037132721736,0.7152962867278264,0.11782562949871717,0.04790763106859608,6.0708050256419614,-0.8029810271874185,0.0009787837794968356,0.8855190396464728,-0.002932823305462588,0.3093882101670295
8249,42,1,71,0.0,0,1,0,0.11406618705413357,0.3093882101670295,0.6906117898329706,0.11388190259850117,0.0406653345519884,6.065109170095093,-0.681423593767478,0.0008313707723184151,0.8835507166124961,-0.002101452533144173,0.33594364531722504
8250,42,1,72,0.0,0,0,0,0.10861827915421758,0.33594364531722504,-0.33594364531722504,-0.05506062887593105,-0.018939738499985148,6.0684994704005,-0.742680938711356,-0.0003880286134736741,0.8825897434316071,-0.002489481146617847,0.32241817470807965
